"Real","PiMLE","MLE","MoS","KLN","GNSUM","Overd.","TPC","RoA","AoR"
1099,NA,2639.26884722776,NA,2689.72323316425,857.448855291577,2824.72966952914,2665.12504553451,2570.00755813953,1981.90990642783
1099,NA,1839.7972972973,NA,1824.12620684998,916.511219792866,1951.76777990726,1856.68555908933,1830.36377708978,1332.94416709397
1099,2646.05035876052,2122.87326450694,3307.09285801099,2121.34899893796,1245.78363509749,2238.20586060258,2153.13637713034,2079.24269311065,2064.7105451185
1099,2433.61042159026,3183.79175946548,2450.96344433475,3132.83386969545,1241.26410998553,3464.46588998776,3200.19391433971,3114.22010869565,2242.7248342256
1099,2237.97538257813,2785.520222046,2209.59753883757,2693.46737160504,1257.47291169451,4283.32139560815,2819.84139541463,2773.80496453901,2169.83933018352
1099,1353.60932112434,1985.03019145803,1372.72189089061,1995.28079508133,1156.94034334764,2203.04046587673,2014.45286648274,1985.56670341786,1290.74158520817
1099,NA,2228.08046368906,NA,2217.62875361286,1377.71468728039,2596.3668061043,2291.41260266713,2163.44895936571,1363.74984474527
1099,NA,2789.18621561808,NA,2842.50076770022,1543.24128279883,2703.00338547606,2796.92831389192,2724.86546463245,2013.69858490093
1099,NA,2552.71875,NA,2587.47446783326,1193.43486441616,3184.36034884661,2614.34806633798,2496.06237006237,1476.04051955306
1099,2030.96287191536,2024.81940509915,2161.08125700537,2063.51889112406,834.757664233577,2379.24062228921,2060.23491361256,1979.33160621762,1676.09260442763
1099,2344.77351386762,2590.92765502495,2415.94861991697,2635.01062021858,1431.13051181102,2479.62394372903,2656.35443722553,2538.94249869315,2333.76020860766
1099,NA,1959.98219814241,NA,1928.7553396734,783.184639175258,1916.27365546367,1997.33924418378,1915.92638731597,1338.20782461141
1099,NA,2359.77483181638,NA,2358.12700514412,1172.31015727392,2734.94871407537,2410.57450036375,2317.52705061082,1688.24685300146
1099,NA,1535.46992481203,NA,1541.67583233253,815.661612426036,2185.84199363466,1611.27575082678,1524.38547486034,1165.71034268533
1099,1569.99968592539,2315.71934798016,1658.32685501831,2333.72977367939,1123.4888252149,3251.95812009755,2352.18749495023,2371.45029875068,1540.38789774414
1099,NA,2534.58728971963,NA,2611.91095898528,1261.79050868486,3465.81745126781,2554.22788866377,2516.42166666667,2432.11108420205
1099,NA,1801.6825521859,NA,1776.10864406531,768.388353863382,2312.95967386138,1812.48754723766,1796.64197530864,1016.03287360023
1099,NA,2419.67491563555,NA,2393.94421827898,1231.54064885496,2643.1439587966,2461.0764688144,2476.31648477886,1838.57158587443
1099,NA,1646.36210950621,NA,1625.64508991179,909.87995049505,1530.09977121433,1678.59206445127,1672.30847803882,1597.77151115504
1099,1574.72093837513,2125.47046413502,1632.24622993096,2080.17065942576,1119.41444444444,2246.78318175575,2155.1654988452,2102.2394586153,1541.48668664452
1099,NA,1942.6159334126,NA,1892.20606504718,873.657754010695,2646.83865639442,1989.86852504142,1935.21276595745,1611.4658940732
1099,NA,1782.48532731377,NA,1780.52426032399,708.198206278027,1907.30308591313,1822.42719370328,1762.37973273942,1622.64171614739
1099,1226.68560206403,1865.86643437863,1236.23243072997,1820.40515255904,905.927255639098,2364.44440695481,1890.69934723058,1840.94168096055,1180.28414104507
1099,NA,2088.23909774436,NA,2063.48514190072,1042.81276595745,2394.65811507104,2091.1495858781,2113.30523917995,2106.87291725565
1099,NA,2612.34028027309,NA,2651.68419444159,1157.66608280255,2811.6221609092,2630.74623423928,2605.68508583691,2087.72386151191
1099,1523.434845098,2051.27339003645,1562.76303637319,2037.6078432774,819.51359223301,2177.60944561394,2072.80291902433,2032.14774774775,1467.13182520516
1099,1577.12312396114,1276.359375,1712.1289044226,1245.69564968493,556.632440302854,1374.69902458751,1315.37961317196,1238.85157159488,1231.05713701703
1099,1533.53089898644,2611,1717.80805399421,2686.49883220747,1058.90555555556,2396.98682792853,2664.16875070114,2590.70345252774,1400.9425942235
1099,Inf,2316.91759294749,Inf,2381.739471338,1059.8780829924,2431.91808317553,2344.43426026217,2320.92068965517,2530.09068140797
1099,2400.10902011781,2743.45018867925,2930.26405816046,2668.88548550604,1198.37521978022,3350.96264854996,2779.13491510432,2756.52497162316,2127.91432729631
1099,1401.12568773801,2164.32838217583,1470.68215875591,2162.47417635363,909.163912310287,2340.87759945411,2220.48275706142,2196.23048780488,1458.83845175614
1099,NA,2057.89503149055,NA,2049.22578533899,1146.48421052632,2615.24362186007,2088.2353940367,2045.42217595003,1698.82418218476
1099,1309.74915828257,2753.84204545455,1397.81634837556,2743.70882237183,1372.58835745752,4570.58062419409,2772.54448868779,2786.57314974182,1275.2835907143
1099,1193.17957639131,1915.89978678038,1106.10023778427,1835.18532794156,1003.35148883375,2937.91379944166,1933.01889743467,1901.69904963041,1196.94515274363
1099,NA,1761.02836611195,NA,1755.83511233096,859.069926199262,2656.63050497069,1810.86007417737,1724.31319290466,1345.37250362356
1099,NA,2084.94306282722,NA,2054.36485033742,1308.33388090349,2366.63043657736,2125.34285529069,2038.64655172414,1610.90933579554
1099,NA,3431.68786808009,NA,3363.24322251086,1175.32617660242,3223.33237508277,3491.34328005397,3379.23090277778,1520.07245805546
1099,2893.99891226158,2903.5663507109,3839.40428600334,3021.28220736432,1055.28660287081,4923.07600603502,2947.04338800066,2913.14946619217,2673.65965596514
1099,NA,2245.09725158562,NA,2269.2386580887,1177.74232902033,2234.79960600409,2291.09437490935,2228.63560209424,1577.32270647445
1099,NA,2836.93360572012,NA,2864.09651738189,1410.62200902935,6004.55792738159,2863.74034606781,2819.88145896657,2024.73857606297
1099,2222.4637626536,2705.7748427673,2279.03148160509,2688.12760471835,1722.40382562278,3471.87269273517,2702.93569652994,2649.82606023356,1937.74310267195
1099,1658.25768877707,2417.10020174849,1727.5548255795,2445.31652929158,1240.10166762507,2834.29681558706,2456.74810720197,2425.46666666667,1624.79942082498
1099,NA,3317.09216101695,NA,3216.4382032379,1551.87307268722,3566.24559263931,3348.69300146087,3245.03360910031,2082.49082035898
1099,NA,2476.3256898562,NA,2462.40411712597,1419.06146993318,2610.84595969358,2512.80041240439,2476.26178010471,1558.65100912736
1099,NA,2998.834416826,NA,2942.53039352631,1639.4324738676,3869.54157281257,3005.80821948422,2878.57582417582,1570.00120223511
