"Real","PiMLE","MLE","MoS","KLN","GNSUM","Overd.","TPC","RoA","AoR"
503,NA,528.410227272727,NA,538.712031221369,722.799481865285,2445.50805829748,539.901235729351,539.384302325581,935.403854128266
503,NA,336.537252221463,NA,337.424946350857,397.059677419355,1893.86870548489,368.189484157567,340.018691588785,285.994208271156
503,NA,228.020840569642,NA,232.59598778123,301.133944954128,908.248139167052,250.995123772992,230.023182297155,127.842898964953
503,NA,532.850649350649,NA,541.346386955766,923.16375,4558.54916210175,554.156633978027,543.401137980085,435.465134589497
503,NA,484.327993254637,NA,484.953687578985,472.767901234568,1970.63787356055,513.763633895448,488.505115089514,439.545280935559
503,486.128824084668,412.949676491733,441.155268141958,407.648181901283,406.904132231405,1909.06481794344,447.040791396075,412.538876889849,474.650779219255
503,475.610408305651,629.119,495.057846298224,616.923751606218,636.903374578178,2076.32737919012,653.156233427047,634.249115715008,518.24188573497
503,654.443052490786,645.210150107219,660.820467789832,650.203738769324,715.441743725231,983.773681605393,684.189774526524,653.213275299238,642.22998545775
503,NA,459.714285714286,NA,456.154020262171,461.221545667447,851.667276362757,477.869202004178,463.711099309612,836.280697480408
503,NA,732.967113276492,NA,735.289958047347,642.454804270463,1379.38565945488,745.593544451815,743.869888475836,706.654718216951
503,NA,277.132725430598,NA,276.198829177615,238.543604651163,2058.54401707056,317.753428799792,280.869788986104,372.173349054341
503,NA,511.869005847953,NA,508.289765420333,523.085258964143,947.837946134627,533.040498781718,520.052412150089,560.22282967033
503,NA,380.852195644413,NA,379.878319364435,357.575530726257,2516.52205822277,426.14240601532,383.07181425486,393.749313443714
503,NA,544.037569060774,NA,536.455877246565,645.945481049563,1183.07274411815,563.994495319668,530.980540540541,1156.66763515348
503,434.272571942258,415.55874409183,481.697229749118,415.654070530018,465.069899244333,536.305806727298,427.976218522407,411.561085972851,505.240317189464
503,NA,482.032826537664,NA,489.931904865543,441.922808870116,2180.42318327167,512.943310557936,477.233024691358,320.250762612824
503,NA,599.244180739388,NA,621.714193520315,424.900970873786,795.606207611955,675.406605599764,587.596231493943,632.482493485483
503,NA,500.001075268817,NA,520.320377761216,516.667777777778,3310.00529096816,540.49400755656,519.742857142857,457.34488649361
503,NA,485.018101219062,NA,478.05758033954,413.742857142857,928.201181991658,517.52600709459,490.819561551433,399.312567977833
503,298.365376499858,415.893567251462,328.713826156393,423.653599945793,357.975503355705,1224.63640746367,445.213356607489,421.788941736029,309.846334850638
503,NA,530.132947976879,NA,531.16304859561,570.410121951219,1325.28672291768,570.710747705949,520.787041687594,719.820796669468
503,NA,562.288650963597,NA,558.695728376712,630.21312,1826.00659033893,597.960368752281,546.75516593613,472.655732699623
503,NA,316.164273204904,NA,310.853590317411,392.456086956522,487.546174925544,345.40463593495,317.28488372093,202.30416478915
503,NA,383.901754385965,NA,381.182030994073,366.062453531599,1908.57842523867,430.794486174454,393.791942273001,515.29277124183
503,NA,466.55618729097,NA,486.189153833039,516.667777777778,2046.89672293658,501.269799456546,469.267071320182,587.597799612454
503,NA,436.484042553191,NA,424.451932103416,393.157371007371,1726.36790955986,471.104272819406,438.743970315399,472.291934909655
503,1150.71390896294,687.165387299372,1631.26207037711,686.14060069882,666.093348365276,693.240774664731,744.706964244731,707.591572123177,1012.07043666909
503,NA,337.060866318148,NA,338.831532068269,332.263435582822,901.203363651686,380.441283315377,331.110314396029,280.39282117499
503,353.778761363016,538.287900874636,375.855964430842,536.849736897572,571.765935483871,886.991048441059,553.845910632125,564.87291546866,419.007073386041
503,NA,671.456072351421,NA,668.087924705997,572.504651162791,2601.77441656346,695.931143886126,658.340952380952,520.690727090915
503,NA,374.698630136986,NA,378.524056641789,427.514327062229,1900.45219792304,414.156915450207,375.717728055077,283.058767102623
503,532.202687356047,604.009463722397,620.67934542365,604.512485023548,776.233783783784,959.720141280089,624.213363552958,608.944208289054,497.649612797106
503,NA,380.173556664291,NA,380.006051999452,330.951499482937,2993.57436699238,426.791751021209,392.828903654485,445.902324321473
503,NA,600.259466437177,NA,606.170616140784,574.075308641975,3538.07434886653,642.458189911203,602.820662768031,442.239790031014
503,NA,479.877192982456,NA,486.430355455576,626.498353293413,2331.86454159114,517.775115117662,482.444617784711,443.697436995181
503,NA,612.634591455827,NA,608.503154654328,467.918268215417,2271.00956488044,633.637660172318,623.295685279188,725.511314761614
503,NA,393.922592259226,NA,399.564092418961,580.948672566372,652.400087305756,412.935797395322,384.994708994709,424.210043236826
503,NA,405.769113731457,NA,411.498587778867,441.420827586207,1032.46043716489,439.989553122396,410.323308270677,415.910438739576
503,NA,516.455244755245,NA,529.027380224443,636.664655172414,1097.60635803771,530.599758981327,514.300523560209,467.555520605264
503,601.358519524842,561.327062847371,717.759922993102,548.587860009548,397.059677419355,3968.29139573683,587.099287534095,547.097744360902,594.571108184729
503,248.757154036901,476.933161123668,249.019062427262,486.817540587078,553.206741573034,566.24579518344,506.573779504594,480.349144254279,243.837686397727
503,1276.02168480521,373.278241091736,850.523582878237,372.889104871505,275.571268656716,1039.59739765872,405.461379415001,369.568848758465,544.597474641816
503,440.612007562779,465.253012048193,456.396438040818,471.354206414738,628.202870813397,1361.09334998153,473.637797356944,490.819561551433,423.083875740105
503,NA,720.640320733104,NA,729.810993803672,768.259294436906,5267.84571088795,745.177265161723,742.709467455621,933.019678057024
503,284.31874423295,365.297045730473,282.730863850895,362.394752093318,350.316558861578,1257.83742848698,399.221635009515,363.159709618875,283.899092292287
503,NA,531.987034035656,NA,544.292053318139,503.686956521739,810.965952655129,558.31457018692,540.996282527881,540.160911872849
503,NA,296.670281995662,NA,301.790678376038,323.491458607096,2698.40226426318,323.808830533002,298.05024576734,279.602560356787
503,NA,514.476489028213,NA,498.433777053254,644.442408376963,3743.84310704484,546.948196311884,514.839622641509,466.206945290867
503,318.076810214725,397.540573274122,360.325041562361,404.570407492774,301.441224489796,1025.22714492722,433.450896358963,413.431818181818,421.038847066134
503,NA,543.617091752236,NA,550.537431380805,534.586319218241,1897.99331519217,574.249701642075,533.982387475538,497.844735508191
