"Real","PiMLE","MLE","MoS","KLN","GNSUM","Overd.","TPC","RoA","AoR"
2969,NA,3145.10680751174,NA,3201.70421620728,2753.04554794521,3253.24654752299,3171.33020977747,3204.5773255814,3014.04025992384
2969,NA,2799.51121892056,NA,2808.45571322043,3836.33850415513,2920.69153458227,2854.28546950443,2792.44287604764,3028.0801151428
2969,NA,2841.61218060903,NA,2895.07932883492,3055.89184441656,3331.6122041265,2860.97699567949,2905.24321503132,2837.27161550767
2969,Inf,3022.85171730515,Inf,2976.55316812192,3215.40807962529,2838.40047300147,3023.06311952198,3027.44573082489,3068.51332946281
2969,2682.66459075821,2785.6099161502,2928.61519282203,2821.95763586076,2795.46146341463,2816.42529380965,2780.87797520199,2809.11957104558,2689.43245275679
2969,NA,2597.28123658222,NA,2538.39819075792,2145.05957446808,2373.37835155576,2657.8599126042,2687.97666882696,2086.22278512844
2969,NA,3006.84666666667,NA,3072.3088159913,1982.05224609375,2886.49218092399,3031.06138198141,3039.78047182176,3053.55482315478
2969,NA,2887.72789115646,NA,2850.52348444457,2848.05623003195,3199.47931763601,2899.2545814426,2801.18056828598,2923.82917796484
2969,Inf,3801.63684609553,Inf,3666.51766186417,5520.3952293578,4215.75518686338,3829.23146589087,3805.31156613171,4052.1398489346
2969,NA,2939.51420454545,NA,2888.31309335986,3374.05108695652,2932.39388767721,2967.3394869398,3048.11600429646,3067.59825149062
2969,3919.01779609162,2788.74293886307,4291.60106972001,2780.37470892963,2316.86554455446,2857.01018956526,2818.68866378299,2822.24485488127,3299.99103345473
2969,NA,2865.95135818067,NA,2874.37015828546,2604.86181818182,2592.84622908318,2888.29300923167,2934.5858490566,3187.44727505284
2969,NA,2503.13727156821,NA,2556.10339811007,2160.10342298289,2462.81638246747,2568.81119470007,2469.97064220183,1690.57367146904
2969,NA,2841.39906502337,NA,2837.93816993939,2233.56748329621,2907.71089028752,2879.65363760049,2852.60236465464,2575.50677878713
2969,NA,3257.47413127413,NA,3373.45320011976,3361.29800796813,3672.36653447449,3264.08490711387,3309.3466819222,3209.09317508328
2969,NA,2475.53031496063,NA,2416.45889088814,2888.75053598775,2627.36207473379,2495.81323086918,2469.22508591065,3141.21420897966
2969,NA,3158.24174724908,NA,3255.86467825071,4324.91643835616,2949.71861888876,3189.80407396865,3255.23157894737,3198.65535824843
2969,NA,2743.53504404443,NA,2744.81782066981,3505.72756933116,3350.54143918819,2772.0457191261,2698.66483516484,2421.39365493242
2969,NA,3070.15719618416,NA,3010.9585069348,2659.45473053892,3034.59616363454,3137.76456274207,3028.21539379475,2821.62730055793
2969,2716.52456965386,2730.78615794144,3118.62145673889,2694.98340771453,4103.46133333333,3362.84694587101,2794.23847099602,2713.44534933562,2915.14665881424
2969,3019.76753448234,2620.74512195122,3089.77504907203,2598.96085254662,3621.92865168539,2379.57310284852,2675.10841377382,2634.33432657926,2953.26928420338
2969,NA,2939.22954259337,NA,3024.124949073,3076.50834553441,2956.35168127181,2985.80994357924,2896.51628468034,2501.47725320124
2969,3894.06580957731,2986.93377483444,4683.68304775035,3038.327994123,3175.41825293351,2757.1087591643,3029.86077200363,3070.29564258136,3372.0565726791
2969,3848.26737129342,2965.50369068541,4548.05808028509,3033.55485114177,4239.62713567839,2799.92661588891,2968.20209640711,3047.8071654373,4160.02734101388
2969,NA,2600.84556848702,NA,2677.85528241893,1919.69900881057,2682.15028244432,2639.78706236127,2595.32833876222,2387.57191613965
2969,NA,2574.43665768194,NA,2605.76359161695,2591.4,3032.33284459706,2581.94613316404,2618.00799543118,2971.10418144726
2969,2893.15527908964,2821.65426465426,3139.82077282464,2781.5192789171,3354.19735744089,2967.72497231818,2856.97231588198,2842.63692625064,2686.15997003091
2969,NA,2820.35352286774,NA,2964.25305364292,2615.92280254777,3032.93477013414,2866.83133441915,2877.54629061925,2954.40413379229
2969,NA,2876.18902015288,NA,2942.8408073701,3297.87729083665,2977.8637219384,2943.92686165463,2885.40518556177,3043.65133411496
2969,NA,2775.0816091954,NA,2790.72076932668,3282.30951661631,3386.4263132039,2802.23302045612,2737.67530319735,3306.36487950408
2969,NA,2733.3654946852,NA,2758.12127560608,3348.48681135225,2866.5174184479,2799.64928482439,2707.69757826344,2582.22634392317
2969,NA,2831.24580335731,NA,2827.3060582363,3411.12857142857,2903.36600459071,2835.7645150334,2810.76215277778,2614.14049132808
2969,NA,2713.39772727273,NA,2634.49611956348,2253.64449438202,2833.94623844791,2737.90731119726,2791.79780755177,2808.9600860197
2969,NA,3020.12964426877,NA,2998.02976511768,3322.14260869565,2972.06343264066,3068.14181484498,3161.74290887145,3351.181886581
2969,4144.82873445072,2941.00933488915,4914.30365754194,2954.76818324707,2243.71958456973,3000.36259560107,3017.99614256953,2893.09988839286,3068.05295384194
2969,NA,2762.60881801126,NA,2743.15048697587,2572.00087336245,3658.69696987603,2804.51617843881,2769.82304526749,2682.42189245962
2969,3575.85112041037,3049.95025210084,3977.75090539987,3238.84640937869,4020.79852289513,3199.84724868816,3128.13377474258,3090.57228017884,3374.99141021997
2969,NA,3354.25403702245,NA,3289.30399280759,2504.83852941176,3778.12584834542,3421.33308295095,3323.45532157086,2949.90282284227
2969,NA,2695.76017789942,NA,2735.04024478306,2194.90445682451,2645.83119060307,2697.90574703037,2757.90045941807,2701.68550620448
2969,NA,2868.21621621622,NA,2879.36544619478,2963.68857545839,2795.96798306565,2911.72110234021,2868.83154121864,2588.99639547404
2969,NA,2279.51312649165,NA,2266.4153306064,2320.11983805668,2131.18419506881,2299.22233938965,2331.90267062315,2530.9021089489
2969,NA,3402.36370007008,NA,3415.64282068197,4185.49396551724,3600.32488939591,3427.00025404109,3410.8125,3255.42095153555
2969,NA,3159.84561093957,NA,3220.77644423848,2798.19140625,3185.19451086865,3181.42991347622,3160.59845559846,3215.04234816585
2969,3293.66478591751,2941.28667413214,3710.22157408768,3073.51893212717,3401.31237410072,3244.0081907754,2953.21654993623,2921.97241752299,2940.71863913955
2969,3950.95645178944,3015.1194433707,5721.00141033907,3175.2729203531,2591.4,3298.65375766883,3051.11016434357,2984.4609375,3562.24233012122
2969,NA,2494.15852534562,NA,2507.95161516112,1729.17699680511,2290.68399841855,2507.53069340077,2493.92741935484,3025.30255631847
2969,NA,3443.45488257108,NA,3403.15512610383,4076.71463414634,3324.83193685554,3460.55711800816,3453.98734177215,3726.45607380753
2969,NA,2850.10742555597,NA,2890.85779663587,2684.49763313609,2653.63715877742,2866.47194647667,2930.71509327304,3282.44458538975
2969,NA,2871.75655146221,NA,2944.99490514452,2759.61131386861,2614.3742174584,2915.07374075301,2907.70330902973,2337.098731241
2969,NA,2778.05677039529,NA,2804.28981332926,2752.59125,3023.67759156481,2820.39232689314,2796.02407407407,2781.65630017223
